# name|version|arch|filename|sha256

vim|9.0.0999-r0|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/vim-9.0.0999-r0/vim-9.0.0999-r0-x86_64.tar.gz|52286f3f5963d612ad14d9cbf38a295a38c8666bc0efb81a6ba8602c2210623e
git|2.39.5-r0|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/git-2.39.5-r0/git-2.39.5-r0-x86_64.tar.gz|7e5017cf8c96fd90b7380e72d06a8e09abd9314e384ed97e2cde5c5b05ecf0b9
dillo|3.0.5-r13|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/dillo-3.0.5-r13/dillo-3.0.5-r13-x86_64.tar.gz|f8bdbcbf87715cbffd6f49edf20662b7831942c9fc40148164106744057962ae
ca-certificates|20240226-r0|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/ca-certificates-20240226-r0/ca-certificates-20240226-r0-x86_64.tar.gz|979f06e65a8b3c6d775a69cd3a3275db2ed79f70f8a2542b617639980f061b2b
curl|8.9.0-r0|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/curl-8.9.0-r0/curl-8.9.0-r0-x86_64.tar.gz|39fe7edca28970d13e4d88324d822bf91fb917e335ec03ef5f91364da4db329e
badwolf|1.2.2-r1|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/badwolf-1.2.2-r1/badwolf-1.2.2-r1-x86_64.tar.gz|0a134e69104f96f7ff08033a26b8e86f203bd8449299c488ae71dbf242a2f6b2
jq|1.6-r2|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/jq-1.6-r2/jq-1.6-r2-x86_64.tar.gz|18e648913edbab0870094dfba37726af12dd4a749bac16d7d7c9d8ba586b2189
python3|3.10.15-r0|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/python3-3.10.15/python3-3.10.15-r0-x86_64.tar.gz|ec1a587a3103e8544e95aec34e9131180281e545c390e463f7e8fd134743ba8b
syslinux|6.04_pre1-r11|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/syslinux-6.04_pre1-r11/syslinux-6.04_pre1-r11-x86_64.tar.gz|3bcde69b0e9a59fb7d37a8c93181cd1fb78228b414191aa566ea67dcbb4a0f59
make|4.3-r1|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/make-4.3-r1/make-4.3-r1-x86_64.tar.gz|62e9525cd0fefe3138ec273425714369b3bf6c5afabef082a26e3e330ebfdac7
binutils|2.39-r2|x86_64|https://github.com/semen88pochuev-eng/RezzOS-Packages/releases/download/binutils-2.39-r2/binutils-2.39-r2-x86_64.tar.gz|90e03dcaa76b5ccdeab22c1663eac32821db0f4dc9f30c355484f0426eaffc73
